
======================================SUBJECT-VERB EDGE==============================================

	Weight			Connection name
	8954605			handstand-bicycle
	8187264			handstand-bird
	8555824			handstand-boat
	9068244			handstand-bottle
	9103146			handstand-person
	8946696			handstand-car
	9294079			handstand-bus
	7774812			handstand-dog
	7280062			handstand-cat
	8509010			handstand-chair
	6579370			handstand-table
	5939288			handstand-cow
	6928522			handstand-horse
	8531853			handstand-bike
	9451891			handstand-plant
	6096711			handstand-sheep
	8367861			handstand-sofa
	7690111			handstand-monitor
	11864920			jump-aeroplane
	13717489			jump-bicycle
	12542005			jump-bird
	13106599			jump-boat
	13891572			jump-bottle
	13945038			jump-person
	13705373			jump-car
	14237527			jump-bus
	11910173			jump-dog
	11152270			jump-cat
	13034885			jump-chair
	10078885			jump-table
	9098349			jump-cow
	10613749			jump-horse
	13069878			jump-bike
	14479277			jump-plant
	9339503			jump-sheep
	12818660			jump-sofa
	11780421			jump-monitor
	-3335			pull up-aeroplane
	-3856			pull up-bicycle
	-3525			pull up-bird
	-3684			pull up-boat
	-3904			pull up-bottle
	-3920			pull up-person
	-3852			pull up-car
	-4002			pull up-bus
	-3348			pull up-dog
	-3134			pull up-cat
	-3664			pull up-chair
	-2833			pull up-table
	-2557			pull up-cow
	-2983			pull up-horse
	-3674			pull up-bike
	-4070			pull up-plant
	-2625			pull up-sheep
	-3603			pull up-sofa
	-3311			pull up-monitor
	0			push up-aeroplane
	0			push up-bicycle
	0			push up-bird
	0			push up-boat
	0			push up-bottle
	0			push up-person
	0			push up-car
	0			push up-bus
	0			push up-dog
	0			push up-cat
	0			push up-chair
	0			push up-table
	0			push up-cow
	0			push up-horse
	0			push up-bike
	0			push up-plant
	0			push up-sheep
	0			push up-sofa
	0			push up-monitor
	10309579			run-aeroplane
	11919299			run-bicycle
	10897907			run-bird
	11388490			run-boat
	12070562			run-bottle
	12117020			run-person
	11908772			run-car
	12371167			run-bus
	10348900			run-dog
	9690348			run-cat
	11326176			run-chair
	8757671			run-table
	7905670			run-cow
	9222421			run-horse
	11356582			run-bike
	12581227			run-plant
	8115212			run-sheep
	11138296			run-sofa
	10236157			run-monitor
	-15842			sit down-aeroplane
	-18316			sit down-bicycle
	-16746			sit down-bird
	-17500			sit down-boat
	-18548			sit down-bottle
	-18620			sit down-person
	-18300			sit down-car
	-19010			sit down-bus
	-15903			sit down-dog
	-14891			sit down-cat
	-17404			sit down-chair
	-13457			sit down-table
	-12148			sit down-cow
	-14172			sit down-horse
	-17451			sit down-bike
	-19333			sit down-plant
	-12470			sit down-sheep
	-17116			sit down-sofa
	-15729			sit down-monitor
	0			sit up-aeroplane
	0			sit up-bicycle
	0			sit up-bird
	0			sit up-boat
	0			sit up-bottle
	0			sit up-person
	0			sit up-car
	0			sit up-bus
	0			sit up-dog
	0			sit up-cat
	0			sit up-chair
	0			sit up-table
	0			sit up-cow
	0			sit up-horse
	0			sit up-bike
	0			sit up-plant
	0			sit up-sheep
	0			sit up-sofa
	0			sit up-monitor
	9413300			somersault-aeroplane
	10883077			somersault-bicycle
	9950480			somersault-bird
	10398414			somersault-boat
	11021189			somersault-bottle
	11063608			somersault-person
	10873464			somersault-car
	11295661			somersault-bus
	9449202			somersault-dog
	8847903			somersault-cat
	10341518			somersault-chair
	7996309			somersault-table
	7218379			somersault-cow
	8420655			somersault-horse
	10369280			somersault-bike
	11487459			somersault-plant
	7409704			somersault-sheep
	10169971			somersault-sofa
	9346260			somersault-monitor
	0			stand up-aeroplane
	0			stand up-bicycle
	0			stand up-bird
	0			stand up-boat
	0			stand up-bottle
	0			stand up-person
	0			stand up-car
	0			stand up-bus
	0			stand up-dog
	0			stand up-cat
	0			stand up-chair
	0			stand up-table
	0			stand up-cow
	0			stand up-horse
	0			stand up-bike
	0			stand up-plant
	0			stand up-sheep
	0			stand up-sofa
	0			stand up-monitor
	10026654			turn-aeroplane
	11592200			turn-bicycle
	10598837			turn-bird
	11075957			turn-boat
	11739312			turn-bottle
	11784494			turn-person
	11581961			turn-car
	12031667			turn-bus
	10064896			turn-dog
	9424417			turn-cat
	11015353			turn-chair
	8517335			turn-table
	7688716			turn-cow
	8969331			turn-horse
	11044925			turn-bike
	12235962			turn-plant
	7892508			turn-sheep
	10832629			turn-sofa
	9955247			turn-monitor
	13527517			walk-aeroplane
	15639682			walk-bicycle
	14299481			walk-bird
	14943190			walk-boat
	15838158			walk-bottle
	15899117			walk-person
	15625868			walk-car
	16232591			walk-bus
	13579112			walk-dog
	12715006			walk-cat
	14861426			walk-chair
	11491211			walk-table
	10373275			walk-cow
	12101023			walk-horse
	14901323			walk-bike
	16508217			walk-plant
	10648221			walk-sheep
	14614903			walk-sofa
	13431178			walk-monitor
	11250837			wave-aeroplane
	13007525			wave-bicycle
	11892879			wave-bird
	12428252			wave-boat
	13172598			wave-bottle
	13223297			wave-person
	12996036			wave-car
	13500647			wave-bus
	11293748			wave-dog
	10575072			wave-cat
	12360250			wave-chair
	9557241			wave-table
	8627454			wave-cow
	10064422			wave-horse
	12393432			wave-bike
	13729886			wave-plant
	8856127			wave-sheep
	12155216			wave-sofa
	11170712			wave-monitor
	9449118			brush-aeroplane
	10924488			brush-bicycle
	9988343			brush-bird
	10437981			brush-boat
	11063126			brush-bottle
	11105706			brush-person
	10914839			brush-car
	11338641			brush-bus
	9485157			brush-dog
	8881570			brush-cat
	10380868			brush-chair
	8026736			brush-table
	7245845			brush-cow
	8452696			brush-horse
	10408736			brush-bike
	11531169			brush-plant
	7437898			brush-sheep
	10208668			brush-sofa
	9381824			brush-monitor
	8621784			catch-aeroplane
	9967976			catch-bicycle
	9113797			catch-bird
	9524066			catch-boat
	10094475			catch-bottle
	10133327			catch-person
	9959172			catch-car
	10345868			catch-bus
	8654668			catch-dog
	8103929			catch-cat
	9471953			catch-chair
	7323941			catch-table
	6611423			catch-cow
	7712606			catch-horse
	9497382			catch-bike
	10521538			catch-plant
	6786661			catch-sheep
	9314831			catch-sofa
	8560382			catch-monitor
	0			draw sword-aeroplane
	0			draw sword-bicycle
	0			draw sword-bird
	0			draw sword-boat
	0			draw sword-bottle
	0			draw sword-person
	0			draw sword-car
	0			draw sword-bus
	0			draw sword-dog
	0			draw sword-cat
	0			draw sword-chair
	0			draw sword-table
	0			draw sword-cow
	0			draw sword-horse
	0			draw sword-bike
	0			draw sword-plant
	0			draw sword-sheep
	0			draw sword-sofa
	0			draw sword-monitor
	10289374			dribble-aeroplane
	11895940			dribble-bicycle
	10876549			dribble-bird
	11366171			dribble-boat
	12046906			dribble-bottle
	12093273			dribble-person
	11885433			dribble-car
	12346922			dribble-bus
	10328618			dribble-dog
	9671357			dribble-cat
	11303979			dribble-chair
	8740507			dribble-table
	7890177			dribble-cow
	9204346			dribble-horse
	11334326			dribble-bike
	12556570			dribble-plant
	8099308			dribble-sheep
	11116467			dribble-sofa
	10216096			dribble-monitor
	10821463			golf-aeroplane
	12511108			golf-bicycle
	11439002			golf-bird
	11953943			golf-boat
	12669882			golf-bottle
	12718646			golf-person
	12500058			golf-car
	12985412			golf-bus
	10862736			golf-dog
	10171487			golf-cat
	11888536			golf-chair
	9192500			golf-table
	8298197			golf-cow
	9680326			golf-horse
	11920451			golf-bike
	13205901			golf-plant
	8518143			golf-sheep
	11691327			golf-sofa
	10744395			golf-monitor
	9743247			hit-aeroplane
	11264542			hit-bicycle
	10299257			hit-bird
	10762891			hit-boat
	11407495			hit-bottle
	11451401			hit-person
	11254592			hit-car
	11691587			hit-bus
	9780408			hit-dog
	9158033			hit-cat
	10704000			hit-chair
	8276589			hit-table
	7471392			hit-cow
	8715809			hit-horse
	10732736			hit-bike
	11890108			hit-plant
	7669423			hit-sheep
	10526441			hit-sofa
	9673858			hit-monitor
	10507316			kick-aeroplane
	12147911			kick-bicycle
	11106928			kick-bird
	11606920			kick-boat
	12302075			kick-bottle
	12349424			kick-person
	12137181			kick-car
	12608445			kick-bus
	10547391			kick-dog
	9876209			kick-cat
	11543412			kick-chair
	8925642			kick-table
	8057301			kick-cow
	9399306			kick-horse
	11574401			kick-bike
	12822534			kick-plant
	8270862			kick-sheep
	11351928			kick-sofa
	10432485			kick-monitor
	10361014			pick-aeroplane
	11978766			pick-bicycle
	10952277			pick-bird
	11445308			pick-boat
	12130783			pick-bottle
	12177473			pick-person
	11968186			pick-car
	12432888			pick-bus
	10400531			pick-dog
	9738694			pick-cat
	11382683			pick-chair
	8801363			pick-table
	7945112			pick-cow
	9268432			pick-horse
	11413241			pick-bike
	12643996			pick-plant
	8155700			pick-sheep
	11193866			pick-sofa
	10287226			pick-monitor
	9719040			pour-aeroplane
	11236555			pour-bicycle
	10273668			pour-bird
	10736151			pour-boat
	11379154			pour-bottle
	11422950			pour-person
	11226631			pour-car
	11662540			pour-bus
	9756109			pour-dog
	9135280			pour-cat
	10677406			pour-chair
	8256026			pour-table
	7452829			pour-cow
	8694155			pour-horse
	10706071			pour-bike
	11860567			pour-plant
	7650368			pour-sheep
	10500288			pour-sofa
	9649824			pour-monitor
	12408634			push-aeroplane
	14346098			push-bicycle
	13116747			push-bird
	13707214			push-boat
	14528158			push-bottle
	14584075			push-person
	14333427			push-car
	14889967			push-bus
	12455961			push-dog
	11663327			push-cat
	13632213			push-chair
	10540754			push-table
	9515284			push-cow
	11100128			push-horse
	13668810			push-bike
	15142795			push-plant
	9767489			push-sheep
	13406080			push-sofa
	12320263			push-monitor
	12289057			ride-aeroplane
	14207851			ride-bicycle
	12990347			ride-bird
	13575124			ride-boat
	14388157			ride-bottle
	14443534			ride-person
	14195302			ride-car
	14746479			ride-bus
	12335928			ride-dog
	11550932			ride-cat
	13500846			ride-chair
	10439177			ride-table
	9423590			ride-cow
	10993161			ride-horse
	13537090			ride-bike
	14996871			ride-plant
	9673364			ride-sheep
	13276891			ride-sofa
	12201538			ride-monitor
	0			shoot ball-aeroplane
	0			shoot ball-bicycle
	0			shoot ball-bird
	0			shoot ball-boat
	0			shoot ball-bottle
	0			shoot ball-person
	0			shoot ball-car
	0			shoot ball-bus
	0			shoot ball-dog
	0			shoot ball-cat
	0			shoot ball-chair
	0			shoot ball-table
	0			shoot ball-cow
	0			shoot ball-horse
	0			shoot ball-bike
	0			shoot ball-plant
	0			shoot ball-sheep
	0			shoot ball-sofa
	0			shoot ball-monitor
	0			shoot bow-aeroplane
	0			shoot bow-bicycle
	0			shoot bow-bird
	0			shoot bow-boat
	0			shoot bow-bottle
	0			shoot bow-person
	0			shoot bow-car
	0			shoot bow-bus
	0			shoot bow-dog
	0			shoot bow-cat
	0			shoot bow-chair
	0			shoot bow-table
	0			shoot bow-cow
	0			shoot bow-horse
	0			shoot bow-bike
	0			shoot bow-plant
	0			shoot bow-sheep
	0			shoot bow-sofa
	0			shoot bow-monitor
	0			shoot gun-aeroplane
	0			shoot gun-bicycle
	0			shoot gun-bird
	0			shoot gun-boat
	0			shoot gun-bottle
	0			shoot gun-person
	0			shoot gun-car
	0			shoot gun-bus
	0			shoot gun-dog
	0			shoot gun-cat
	0			shoot gun-chair
	0			shoot gun-table
	0			shoot gun-cow
	0			shoot gun-horse
	0			shoot gun-bike
	0			shoot gun-plant
	0			shoot gun-sheep
	0			shoot gun-sofa
	0			shoot gun-monitor
	0			swing bat-aeroplane
	0			swing bat-bicycle
	0			swing bat-bird
	0			swing bat-boat
	0			swing bat-bottle
	0			swing bat-person
	0			swing bat-car
	0			swing bat-bus
	0			swing bat-dog
	0			swing bat-cat
	0			swing bat-chair
	0			swing bat-table
	0			swing bat-cow
	0			swing bat-horse
	0			swing bat-bike
	0			swing bat-plant
	0			swing bat-sheep
	0			swing bat-sofa
	0			swing bat-monitor
	11327161			exercise-aeroplane
	13095765			exercise-bicycle
	11973558			exercise-bird
	12512563			exercise-boat
	13261958			exercise-bottle
	13313001			exercise-person
	13084198			exercise-car
	13592233			exercise-bus
	11370363			exercise-dog
	10646811			exercise-cat
	12444099			exercise-chair
	9622075			exercise-table
	8685981			exercise-cow
	10132697			exercise-horse
	12477506			exercise-bike
	13823027			exercise-plant
	8916205			exercise-sheep
	12237674			exercise-sofa
	11246492			exercise-monitor
	11511765			throw-aeroplane
	13309194			throw-bicycle
	12168698			throw-bird
	12716487			throw-boat
	13478095			throw-bottle
	13529970			throw-person
	13297438			throw-car
	13813753			throw-bus
	11555672			throw-dog
	10820327			throw-cat
	12646907			throw-chair
	9778891			throw-table
	8827540			throw-cow
	10297835			throw-horse
	12680859			throw-bike
	14048308			throw-plant
	9061517			throw-sheep
	12437118			throw-sofa
	11429782			throw-monitor
	8649397			fence-aeroplane
	9999899			fence-bicycle
	9142985			fence-bird
	9554568			fence-boat
	10126804			fence-bottle
	10165780			fence-person
	9991067			fence-car
	10379001			fence-bus
	8682386			fence-dog
	8129883			fence-cat
	9502289			fence-chair
	7347397			fence-table
	6632597			fence-cow
	7737307			fence-horse
	9527798			fence-bike
	10555235			fence-plant
	6808396			fence-sheep
	9344663			fence-sofa
	8587798			fence-monitor
	9857436			hug-aeroplane
	11396560			hug-bicycle
	10419962			hug-bird
	10889030			hug-boat
	11541189			hug-bottle
	11585609			hug-person
	11386494			hug-car
	11828610			hug-bus
	9895033			hug-dog
	9265363			hug-cat
	10829449			hug-chair
	8373589			hug-table
	7558955			hug-cow
	8817957			hug-horse
	10858522			hug-bike
	12029458			hug-plant
	7759307			hug-sheep
	10649808			hug-sofa
	9787234			hug-monitor
	12087105			kiss-aeroplane
	13974366			kiss-bicycle
	12776870			kiss-bird
	13352036			kiss-boat
	14151709			kiss-bottle
	14206176			kiss-person
	13962023			kiss-car
	14504142			kiss-bus
	12133206			kiss-dog
	11361110			kiss-cat
	13278979			kiss-chair
	10267625			kiss-table
	9268727			kiss-cow
	10812504			kiss-horse
	13314628			kiss-bike
	14750420			kiss-plant
	9514397			kiss-sheep
	13058705			kiss-sofa
	12001024			kiss-monitor
	10187690			punch-aeroplane
	11778379			punch-bicycle
	10769062			punch-bird
	11253845			punch-boat
	11927854			punch-bottle
	11973762			punch-person
	11767976			punch-car
	12224904			punch-bus
	10226546			punch-dog
	9575781			punch-cat
	11192268			punch-chair
	8654130			punch-table
	7812203			punch-cow
	9113385			punch-horse
	11222315			punch-bike
	12432481			punch-plant
	8019267			punch-sheep
	11006609			punch-sofa
	10115136			punch-monitor
	0			shake hands-aeroplane
	0			shake hands-bicycle
	0			shake hands-bird
	0			shake hands-boat
	0			shake hands-bottle
	0			shake hands-person
	0			shake hands-car
	0			shake hands-bus
	0			shake hands-dog
	0			shake hands-cat
	0			shake hands-chair
	0			shake hands-table
	0			shake hands-cow
	0			shake hands-horse
	0			shake hands-bike
	0			shake hands-plant
	0			shake hands-sheep
	0			shake hands-sofa
	0			shake hands-monitor
	0			sword fight-aeroplane
	0			sword fight-bicycle
	0			sword fight-bird
	0			sword fight-boat
	0			sword fight-bottle
	0			sword fight-person
	0			sword fight-car
	0			sword fight-bus
	0			sword fight-dog
	0			sword fight-cat
	0			sword fight-chair
	0			sword fight-table
	0			sword fight-cow
	0			sword fight-horse
	0			sword fight-bike
	0			sword fight-plant
	0			sword fight-sheep
	0			sword fight-sofa
	0			sword fight-monitor
