
======================================SUBJECT-VERB EDGE==============================================

	Weight			Connection name
	0			person-backhand flip
	19011055			person-handstand
	29122885			person-jump
	-8186			person-pull up
	0			person-push up
	25305244			person-run
	-38886			person-sit down
	0			person-sit up
	23105293			person-somersault
	0			person-stand up
	24610795			person-turn
	33203793			person-walk
	27615598			person-wave
	23193211			person-brush
	21162490			person-catch
	0			person-draw sword
	25255650			person-dribble
	26561682			person-golf
	23915162			person-hit
	25790597			person-kick
	25431494			person-pick
	23855745			person-pour
	30457453			person-push
	30163948			person-ride
	0			person-shoot ball
	0			person-shoot bow
	0			person-shoot gun
	0			person-swing bat
	27802936			person-exercise
	28256056			person-throw
	21230266			person-fence
	24195442			person-hug
	29668248			person-kiss
	25006063			person-punch
	0			person-shake hands
	0			person-sword fight
	17047086			car-smile
	18932036			car-laugh
	14109262			car-chew
	21715582			car-talk
	0			car-smake
	14234162			car-eat
	17153877			car-drink
	14051499			car-cartwheel
	19604684			car-clap
	18553795			car-climb
	0			car-climb stairs
	16973690			car-dive
	19463423			car-fall
	0			car-backhand flip
	13738751			car-handstand
	21046285			car-jump
	-5916			car-pull up
	0			car-push up
	18287383			car-run
	-28102			car-sit down
	0			car-sit up
	16697541			car-somersault
	0			car-stand up
	17785525			car-turn
	23995441			car-walk
	19957011			car-wave
	16761077			car-brush
	15293532			car-catch
	0			car-draw sword
	18251543			car-dribble
	19195375			car-golf
	17282810			car-hit
	18638134			car-kick
	18378620			car-pick
	17239872			car-pour
	22010739			car-push
	21798631			car-ride
	0			car-shoot ball
	0			car-shoot bow
	0			car-shoot gun
	0			car-swing bat
	20092395			car-exercise
	20419851			car-throw
	15342512			car-fence
	17485361			car-hug
	21440403			car-kiss
	18071174			car-punch
	0			car-shake hands
	0			car-sword fight
	17143111			bus-smile
	19038679			bus-laugh
	14188738			bus-chew
	21837904			bus-talk
	0			bus-smake
	14314342			bus-eat
	17250503			bus-drink
	14130650			bus-cartwheel
	19715116			bus-clap
	18658308			bus-climb
	0			bus-climb stairs
	17069301			bus-dive
	19573060			bus-fall
	0			bus-backhand flip
	13816141			bus-handstand
	21164837			bus-jump
	-5949			bus-pull up
	0			bus-push up
	18390395			bus-run
	-28260			bus-sit down
	0			bus-sit up
	16791597			bus-somersault
	0			bus-stand up
	17885710			bus-turn
	24130606			bus-walk
	20069427			bus-wave
	16855491			bus-brush
	15379680			bus-catch
	0			bus-draw sword
	18354353			bus-dribble
	19303502			bus-golf
	17380163			bus-hit
	18743122			bus-kick
	18482146			bus-pick
	17336983			bus-pour
	22134724			bus-push
	21921421			bus-ride
	0			bus-shoot ball
	0			bus-shoot bow
	0			bus-shoot gun
	0			bus-swing bat
	20205574			bus-exercise
	20534875			bus-throw
	15428935			bus-fence
	17583855			bus-hug
	21561175			bus-kiss
	18172968			bus-punch
	0			bus-shake hands
	0			bus-sword fight
	17126877			dog-smile
	19020650			dog-laugh
	14175302			dog-chew
	21817224			dog-talk
	0			dog-smake
	14300786			dog-eat
	17234167			dog-drink
	14117269			dog-cartwheel
	19696446			dog-clap
	18640638			dog-climb
	0			dog-climb stairs
	17053137			dog-dive
	19554524			dog-fall
	0			dog-backhand flip
	13803057			dog-handstand
	21144794			dog-jump
	-5943			dog-pull up
	0			dog-push up
	18372979			dog-run
	-28233			dog-sit down
	0			dog-sit up
	16775696			dog-somersault
	0			dog-stand up
	17868772			dog-turn
	24107755			dog-walk
	20050422			dog-wave
	16839529			dog-brush
	15365116			dog-catch
	0			dog-draw sword
	18336972			dog-dribble
	19285222			dog-golf
	17363704			dog-hit
	18725372			dog-kick
	18464644			dog-pick
	17320565			dog-pour
	22113762			dog-push
	21900662			dog-ride
	0			dog-shoot ball
	0			dog-shoot bow
	0			dog-shoot gun
	0			dog-swing bat
	20186440			dog-exercise
	20515429			dog-throw
	15414324			dog-fence
	17567203			dog-hug
	21540757			dog-kiss
	18155758			dog-punch
	0			dog-shake hands
	0			dog-sword fight
	19379092			cat-smile
	21521900			cat-laugh
	16039380			cat-chew
	24686229			cat-talk
	0			cat-smake
	16181366			cat-eat
	19500492			cat-drink
	15973715			cat-cartwheel
	22286565			cat-clap
	21091916			cat-climb
	0			cat-climb stairs
	19295656			cat-dive
	22125980			cat-fall
	0			cat-backhand flip
	15618185			cat-handstand
	23925373			cat-jump
	-6725			cat-pull up
	0			cat-push up
	20789060			cat-run
	-31946			cat-sit down
	0			cat-sit up
	18981731			cat-somersault
	0			cat-stand up
